Model,Provider,Intelligence,Latency,TPS
deepseek-ai/deepseek-v4-flash-0731,nvidia,52,2.9,33
google/gemma-4-31b-it,nvidia,30,0.0,27
meta/llama-3.1-8b-instruct,nvidia,8,0.0,110
meta/muse-glimmer-30b,nvidia,36,-,-
mistralai/mistral-nemotron,nvidia,13,0.1,45
moonshotai/kimi-k3,nvidia,60,-,-
nvidia/llama-3.1-nemotron-nano-vl-8b-v1,nvidia,-,-,-
nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,9,1.4,26
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,nvidia,15,-,-
nvidia/nemotron-3-super-120b-a12b,nvidia,26,0.6,182
nvidia/nemotron-3-ultra-550b-a55b,nvidia,39,-,-
nvidia/nemotron-3.5-lightning-30b-a3b,nvidia,24,2.9,294
openai/gpt-oss-120b,nvidia,25,1.0,186
openai/gpt-oss-20b,nvidia,16,5.6,107
poolside/laguna-xs-2.1,nvidia,15,-,-
stepfun-ai/step-3.7-flash,nvidia,31,5.3,39
thinkingmachines/inkling,nvidia,43,1.5,77
z-ai/glm-5.2,nvidia,53,-,-
