Model,Provider,Intelligence,Latency,TPS
deepseek-ai/deepseek-v4-flash-0731,nvidia,52,-,-
google/gemma-4-31b-it,nvidia,30,0.0,33
meta/llama-3.1-8b-instruct,nvidia,8,0.0,183
meta/muse-glimmer-30b,nvidia,36,-,-
mistralai/mistral-nemotron,nvidia,13,-,-
moonshotai/kimi-k3,nvidia,60,-,-
nvidia/llama-3.1-nemotron-nano-vl-8b-v1,nvidia,-,-,-
nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,9,-,-
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,nvidia,15,-,-
nvidia/nemotron-3-super-120b-a12b,nvidia,26,0.9,111
nvidia/nemotron-3-ultra-550b-a55b,nvidia,39,7.1,43
nvidia/nemotron-3.5-lightning-30b-a3b,nvidia,24,-,-
openai/gpt-oss-120b,nvidia,25,0.5,192
openai/gpt-oss-20b,nvidia,16,4.3,71
poolside/laguna-xs-2.1,nvidia,15,5.8,68
stepfun-ai/step-3.7-flash,nvidia,31,-,-
thinkingmachines/inkling,nvidia,43,1.9,35
